run_id,r0_scale,seed_size,intervention_day,daily_infections_at_start,cumulative_infections_at_start,is_intervention
0_Baseline,1.2481290828202911,420.0,-1,,,False
0_Global_Timed_s05,1.2481290828202911,420.0,1,102.0,281.0,True
0_Global_Timed_s20,1.2481290828202911,420.0,1,102.0,281.0,True
0_Global_Timed_s35,1.2481290828202911,420.0,1,102.0,281.0,True
0_Global_Timed_s50,1.2481290828202911,420.0,1,102.0,281.0,True
0_Global_Timed_s65,1.2481290828202911,420.0,1,102.0,281.0,True
0_Global_Timed_s80,1.2481290828202911,420.0,1,102.0,281.0,True
10_Baseline,1.1160008342499332,234.0,-1,,,False
10_Global_Timed_s05,1.1160008342499332,234.0,5,33.0,308.0,True
10_Global_Timed_s20,1.1160008342499332,234.0,5,33.0,308.0,True
10_Global_Timed_s35,1.1160008342499332,234.0,5,33.0,308.0,True
10_Global_Timed_s50,1.1160008342499332,234.0,5,33.0,308.0,True
10_Global_Timed_s65,1.1160008342499332,234.0,5,33.0,308.0,True
10_Global_Timed_s80,1.1160008342499332,234.0,5,33.0,308.0,True
11_Baseline,0.8160422973846012,247.0,-1,,,False
11_Global_Timed_s05,0.8160422973846012,247.0,38,535.0,7340.0,True
11_Global_Timed_s20,0.8160422973846012,247.0,38,535.0,7340.0,True
11_Global_Timed_s35,0.8160422973846012,247.0,38,535.0,7340.0,True
11_Global_Timed_s50,0.8160422973846012,247.0,38,535.0,7340.0,True
11_Global_Timed_s65,0.8160422973846012,247.0,38,535.0,7340.0,True
11_Global_Timed_s80,0.8160422973846012,247.0,38,535.0,7340.0,True
12_Baseline,1.5122805134299109,358.0,-1,,,False
12_Global_Timed_s05,1.5122805134299109,358.0,8,234.0,1156.0,True
12_Global_Timed_s20,1.5122805134299109,358.0,8,234.0,1156.0,True
12_Global_Timed_s35,1.5122805134299109,358.0,8,234.0,1156.0,True
12_Global_Timed_s50,1.5122805134299109,358.0,8,234.0,1156.0,True
12_Global_Timed_s65,1.5122805134299109,358.0,8,234.0,1156.0,True
12_Global_Timed_s80,1.5122805134299109,358.0,8,234.0,1156.0,True
13_Baseline,1.472877008143255,202.0,-1,,,False
13_Global_Timed_s05,1.472877008143255,202.0,12,126.0,892.0,True
13_Global_Timed_s20,1.472877008143255,202.0,12,126.0,892.0,True
13_Global_Timed_s35,1.472877008143255,202.0,12,126.0,892.0,True
13_Global_Timed_s50,1.472877008143255,202.0,12,126.0,892.0,True
13_Global_Timed_s65,1.472877008143255,202.0,12,126.0,892.0,True
13_Global_Timed_s80,1.472877008143255,202.0,12,126.0,892.0,True
14_Baseline,2.187439217760037,395.0,-1,,,False
14_Global_Timed_s05,2.187439217760037,395.0,22,1367.0,8748.0,True
14_Global_Timed_s20,2.187439217760037,395.0,22,1367.0,8748.0,True
14_Global_Timed_s35,2.187439217760037,395.0,22,1367.0,8748.0,True
14_Global_Timed_s50,2.187439217760037,395.0,22,1367.0,8748.0,True
14_Global_Timed_s65,2.187439217760037,395.0,22,1367.0,8748.0,True
14_Global_Timed_s80,2.187439217760037,395.0,22,1367.0,8748.0,True
1_Baseline,2.9080920825526606,460.0,-1,,,False
1_Global_Timed_s05,2.9080920825526606,460.0,2,76.0,440.0,True
1_Global_Timed_s20,2.9080920825526606,460.0,2,76.0,440.0,True
1_Global_Timed_s35,2.9080920825526606,460.0,2,76.0,440.0,True
1_Global_Timed_s50,2.9080920825526606,460.0,2,76.0,440.0,True
1_Global_Timed_s65,2.9080920825526606,460.0,2,76.0,440.0,True
1_Global_Timed_s80,2.9080920825526606,460.0,2,76.0,440.0,True
