name,id,idx,Y,M,O
08001,08001,1,0.21,0.87,0.72
08002,08002,2,0.12,0.16,0.72
08003,08003,3,0.16,0.63,0.72
08004,08004,4,0.12,0.16,0.72
08005,08005,5,0.16,0.63,0.72
08006,08006,6,0.23,1.04,0.72
08007,08007,7,0.14,0.63,0.72
08008,08008,8,0.12,0.16,0.72
08009,08009,9,0.2,0.83,0.72
08010,08010,10,0.12,0.39,0.72
08011,08011,11,0.12,0.16,0.72
08012,08012,12,0.12,0.16,0.72
08013,08013,13,0.12,0.16,0.72
08014,08014,14,0.12,0.17,0.72
08015,08015,15,3.51,14.6,4.51
08016,08016,16,0.12,0.16,0.72
08017,08017,17,0.12,0.27,0.72
08018,08018,18,0.12,0.21,0.72
08019,08019,19,20.77,112.35,35.5
08020,08020,20,0.13,0.5,0.72
08021,08021,21,0.12,0.16,0.72
08022,08022,22,0.24,1.08,0.72
08023,08023,23,0.15,0.69,0.72
08024,08024,24,0.12,0.16,0.72
08025,08025,25,0.12,0.16,0.72
08026,08026,26,0.12,0.16,0.72
08027,08027,27,0.12,0.16,0.72
08028,08028,28,0.12,0.16,0.72
08029,08029,29,0.12,0.32,0.72
08030,08030,30,0.12,0.52,0.72
08031,08031,31,0.12,0.22,0.72
08032,08032,32,0.12,0.21,0.72
08033,08033,33,0.27,1.21,0.72
08034,08034,34,0.12,0.16,0.72
08035,08035,35,0.29,1.29,0.72
08036,08036,36,0.12,0.16,0.72
08037,08037,37,0.12,0.18,0.72
08038,08038,38,0.12,0.16,0.72
08039,08039,39,0.12,0.16,0.72
08040,08040,40,0.21,0.96,0.72
08041,08041,41,0.31,1.13,0.72
08042,08042,42,0.12,0.22,0.72
08043,08043,43,0.12,0.37,0.72
08044,08044,44,0.12,0.36,0.72
08045,08045,45,0.12,0.16,0.72
08046,08046,46,0.32,1.25,0.72
08047,08047,47,0.12,0.27,0.72
08048,08048,48,0.12,0.16,0.72
08049,08049,49,0.12,0.16,0.72
08050,08050,50,0.12,0.16,0.72
08051,08051,51,0.39,1.67,0.72
08052,08052,52,0.12,0.16,0.72
08053,08053,53,0.12,0.28,0.72
08054,08054,54,0.22,0.89,0.72
08055,08055,55,0.12,0.16,0.72
08056,08056,56,1.07,4.73,1.12
08057,08057,57,0.12,0.16,0.72
08058,08058,58,0.12,0.17,0.72
08059,08059,59,0.12,0.16,0.72
08060,08060,60,0.12,0.16,0.72
08061,08061,61,0.12,0.16,0.72
08062,08062,62,0.12,0.16,0.72
08063,08063,63,0.12,0.16,0.72
08064,08064,64,0.12,0.18,0.72
08065,08065,65,0.12,0.16,0.72
08066,08066,66,0.12,0.16,0.72
08067,08067,67,0.12,0.5,0.72
08068,08068,68,0.15,0.64,0.72
08069,08069,69,0.12,0.33,0.72
08070,08070,70,0.12,0.16,0.72
08071,08071,71,0.12,0.16,0.72
08072,08072,72,0.25,1.08,0.72
08073,08073,73,1.32,5.97,1.83
08074,08074,74,0.26,1.14,0.72
08075,08075,75,0.12,0.41,0.72
08076,08076,76,0.34,1.5,0.72
08077,08077,77,0.69,2.94,1.14
08078,08078,78,0.12,0.16,0.72
08079,08079,79,0.12,0.16,0.72
08080,08080,80,0.12,0.16,0.72
08081,08081,81,0.12,0.16,0.72
08082,08082,82,0.12,0.16,0.72
08083,08083,83,0.12,0.16,0.72
08084,08084,84,0.12,0.16,0.72
08085,08085,85,0.12,0.16,0.72
08086,08086,86,0.36,1.39,0.72
08087,08087,87,0.12,0.16,0.72
08088,08088,88,0.28,1.13,0.72
08089,08089,89,0.75,3.14,0.9
08090,08090,90,0.12,0.16,0.72
08091,08091,91,0.13,0.54,0.72
08092,08092,92,0.12,0.3,0.72
08093,08093,93,0.12,0.16,0.72
08094,08094,94,0.12,0.16,0.72
08095,08095,95,0.12,0.16,0.72
08096,08096,96,0.93,4.21,1.25
08097,08097,97,0.12,0.16,0.72
08098,08098,98,0.12,0.23,0.72
08099,08099,99,0.12,0.16,0.72
08100,08100,100,0.12,0.17,0.72
08101,08101,101,4.0,18.84,5.39
08102,08102,102,0.65,2.66,0.86
08103,08103,103,0.12,0.16,0.72
08104,08104,104,0.12,0.16,0.72
08105,08105,105,0.19,0.85,0.72
08106,08106,106,0.16,0.71,0.72
08107,08107,107,0.24,1.1,0.72
08108,08108,108,0.12,0.44,0.72
08109,08109,109,0.12,0.16,0.72
08110,08110,110,0.27,1.23,0.72
08111,08111,111,0.12,0.16,0.72
08112,08112,112,0.38,1.35,0.72
08113,08113,113,1.28,5.07,1.62
08114,08114,114,0.46,1.9,0.72
08115,08115,115,0.12,0.32,0.72
08116,08116,116,0.12,0.16,0.72
08117,08117,117,0.12,0.22,0.72
08118,08118,118,0.35,1.58,0.72
08119,08119,119,0.16,0.69,0.72
08120,08120,120,0.18,0.63,0.72
08121,08121,121,2.06,8.57,2.46
08122,08122,122,0.12,0.17,0.72
08123,08123,123,0.43,1.77,0.72
08124,08124,124,0.74,3.48,0.98
08125,08125,125,0.62,2.48,0.72
08126,08126,126,0.2,0.85,0.72
08127,08127,127,0.12,0.21,0.72
08128,08128,128,0.12,0.16,0.72
08129,08129,129,0.12,0.16,0.72
08130,08130,130,0.12,0.16,0.72
08131,08131,131,0.12,0.16,0.72
08132,08132,132,0.12,0.16,0.72
08133,08133,133,0.12,0.16,0.72
08134,08134,134,0.12,0.16,0.72
08135,08135,135,0.12,0.58,0.72
08136,08136,136,0.29,1.13,0.72
08137,08137,137,0.12,0.16,0.72
08138,08138,138,0.12,0.45,0.72
08139,08139,139,0.12,0.16,0.72
08140,08140,140,0.12,0.39,0.72
08141,08141,141,0.12,0.39,0.72
08142,08142,142,0.12,0.16,0.72
08143,08143,143,0.12,0.24,0.72
08144,08144,144,0.12,0.16,0.72
08145,08145,145,0.12,0.26,0.72
08146,08146,146,0.12,0.16,0.72
08147,08147,147,0.4,1.64,0.72
08148,08148,148,0.12,0.31,0.72
08149,08149,149,0.12,0.16,0.72
08150,08150,150,0.12,0.16,0.72
08151,08151,151,0.12,0.16,0.72
08152,08152,152,0.12,0.16,0.72
08153,08153,153,0.12,0.16,0.72
08154,08154,154,0.12,0.16,0.72
08155,08155,155,0.16,0.68,0.72
08156,08156,156,0.23,1.02,0.72
08157,08157,157,0.19,0.79,0.72
08158,08158,158,0.12,0.29,0.72
08159,08159,159,0.29,1.26,0.72
08160,08160,160,0.12,0.16,0.72
08161,08161,161,0.28,1.19,0.72
08162,08162,162,0.12,0.23,0.72
08163,08163,163,0.41,1.86,0.72
08164,08164,164,0.12,0.16,0.72
08165,08165,165,0.12,0.16,0.72
08166,08166,166,0.12,0.16,0.72
08167,08167,167,0.16,0.59,0.72
08168,08168,168,0.12,0.16,0.72
08169,08169,169,1.0,4.23,1.36
08170,08170,170,0.12,0.16,0.72
08171,08171,171,0.12,0.16,0.72
08172,08172,172,0.41,1.86,0.72
08174,08174,173,0.12,0.16,0.72
08175,08175,174,0.12,0.27,0.72
08176,08176,175,0.12,0.16,0.72
08177,08177,176,0.12,0.16,0.72
08178,08178,177,0.12,0.16,0.72
08179,08179,178,0.12,0.16,0.72
08180,08180,179,0.64,2.65,0.72
08181,08181,180,0.17,0.74,0.72
08182,08182,181,0.12,0.27,0.72
08183,08183,182,0.12,0.45,0.72
08184,08184,183,1.3,5.47,1.38
08185,08185,184,0.12,0.16,0.72
08187,08187,185,3.47,14.42,4.26
08188,08188,186,0.12,0.16,0.72
08189,08189,187,0.12,0.16,0.72
08190,08190,188,0.12,0.16,0.72
08191,08191,189,0.12,0.43,0.72
08192,08192,190,0.13,0.48,0.72
08193,08193,191,0.12,0.16,0.72
08194,08194,192,0.62,2.57,0.72
08195,08195,193,0.12,0.16,0.72
08196,08196,194,0.44,1.8,0.72
08197,08197,195,0.18,0.79,0.72
08198,08198,196,0.12,0.44,0.72
08199,08199,197,0.12,0.16,0.72
08200,08200,198,1.26,5.47,1.72
08201,08201,199,0.12,0.16,0.72
08202,08202,200,0.3,1.22,0.72
08203,08203,201,0.12,0.26,0.72
08204,08204,202,0.12,0.28,0.72
08205,08205,203,1.84,6.5,1.53
08206,08206,204,0.12,0.16,0.72
08207,08207,205,0.12,0.21,0.72
08208,08208,206,0.12,0.55,0.72
08209,08209,207,0.13,0.58,0.72
08210,08210,208,0.12,0.46,0.72
08211,08211,209,0.68,3.01,0.94
08212,08212,210,0.12,0.16,0.72
08213,08213,211,0.16,0.61,0.72
08214,08214,212,0.14,0.59,0.72
08215,08215,213,0.12,0.24,0.72
08216,08216,214,0.12,0.16,0.72
08217,08217,215,0.53,2.31,0.72
08218,08218,216,0.16,0.71,0.72
08219,08219,217,0.32,1.34,0.72
08220,08220,218,0.12,0.22,0.72
08221,08221,219,0.4,1.31,0.72
08222,08222,220,0.12,0.17,0.72
08223,08223,221,0.12,0.16,0.72
08224,08224,222,0.12,0.16,0.72
08225,08225,223,0.12,0.16,0.72
08226,08226,224,0.12,0.16,0.72
08227,08227,225,0.12,0.22,0.72
08228,08228,226,0.12,0.16,0.72
08229,08229,227,0.12,0.16,0.72
08230,08230,228,0.17,0.68,0.72
08231,08231,229,0.51,2.15,0.72
08232,08232,230,0.12,0.16,0.72
08233,08233,231,0.12,0.16,0.72
08234,08234,232,0.12,0.34,0.72
08235,08235,233,0.12,0.37,0.72
08236,08236,234,0.12,0.16,0.72
08237,08237,235,0.12,0.16,0.72
08238,08238,236,0.34,1.32,0.72
08239,08239,237,0.12,0.16,0.72
08240,08240,238,0.2,0.85,0.72
08241,08241,239,0.12,0.16,0.72
08242,08242,240,0.12,0.16,0.72
08243,08243,241,0.12,0.16,0.72
08244,08244,242,0.13,0.57,0.72
08245,08245,243,1.85,7.87,2.37
08246,08246,244,0.12,0.16,0.72
08247,08247,245,0.12,0.16,0.72
08248,08248,246,0.13,0.52,0.72
08249,08249,247,0.12,0.16,0.72
08250,08250,248,0.19,0.66,0.72
08251,08251,249,0.14,0.51,0.72
08252,08252,250,0.54,2.18,0.72
08253,08253,251,0.12,0.16,0.72
08254,08254,252,0.12,0.16,0.72
08255,08255,253,0.12,0.16,0.72
08256,08256,254,0.12,0.16,0.72
08257,08257,255,0.12,0.16,0.72
08258,08258,256,0.12,0.16,0.72
08259,08259,257,0.15,0.66,0.72
08260,08260,258,0.41,1.74,0.72
08261,08261,259,0.12,0.26,0.72
08262,08262,260,0.16,0.65,0.72
08263,08263,261,0.43,1.9,0.72
08264,08264,262,0.12,0.44,0.72
08265,08265,263,0.12,0.16,0.72
08266,08266,264,0.78,3.76,1.24
08267,08267,265,0.17,0.63,0.72
08268,08268,266,0.12,0.16,0.72
08269,08269,267,0.12,0.25,0.72
08270,08270,268,0.44,2.17,0.72
08271,08271,269,0.12,0.16,0.72
08272,08272,270,0.12,0.16,0.72
08273,08273,271,0.12,0.21,0.72
08274,08274,272,0.12,0.38,0.72
08275,08275,273,0.12,0.16,0.72
08276,08276,274,0.12,0.16,0.72
08277,08277,275,0.12,0.16,0.72
08278,08278,276,0.12,0.43,0.72
08279,08279,277,3.71,15.05,4.07
08280,08280,278,0.12,0.16,0.72
08281,08281,279,0.12,0.42,0.72
08282,08282,280,0.16,0.61,0.72
08283,08283,281,0.13,0.56,0.72
08284,08284,282,0.3,1.24,0.72
08285,08285,283,0.24,0.97,0.72
08286,08286,284,0.12,0.28,0.72
08287,08287,285,0.12,0.16,0.72
08288,08288,286,0.12,0.18,0.72
08289,08289,287,0.12,0.42,0.72
08290,08290,288,0.12,0.16,0.72
08291,08291,289,0.13,0.53,0.72
08292,08292,290,0.12,0.16,0.72
08293,08293,291,0.12,0.16,0.72
08294,08294,292,0.12,0.22,0.72
08295,08295,293,0.25,1.06,0.72
08296,08296,294,0.12,0.19,0.72
08297,08297,295,0.12,0.16,0.72
08298,08298,296,0.85,3.28,0.8
08299,08299,297,0.12,0.16,0.72
08300,08300,298,0.12,0.51,0.72
08301,08301,299,1.04,4.47,1.21
08302,08302,300,0.21,0.84,0.72
08303,08303,301,0.12,0.16,0.72
08304,08304,302,0.12,0.16,0.72
08305,08305,303,0.69,2.68,0.79
08306,08306,304,0.12,0.16,0.72
08307,08307,305,0.99,4.57,1.47
08308,08308,306,0.12,0.16,0.72
08901,08901,307,0.12,0.16,0.72
08902,08902,308,0.12,0.39,0.72
08903,08903,309,0.12,0.16,0.72
08904,08904,310,0.18,0.84,0.72
08905,08905,311,0.12,0.2,0.72
17001,17001,312,0.12,0.16,0.72
17002,17002,313,0.12,0.16,0.72
17003,17003,314,0.12,0.16,0.72
17004,17004,315,0.12,0.16,0.72
17005,17005,316,0.12,0.16,0.72
17006,17006,317,0.12,0.16,0.72
17007,17007,318,0.12,0.16,0.72
17008,17008,319,0.12,0.38,0.72
17009,17009,320,0.12,0.42,0.72
17010,17010,321,0.12,0.16,0.72
17011,17011,322,0.12,0.16,0.72
17012,17012,323,0.12,0.16,0.72
17013,17013,324,0.12,0.27,0.72
17014,17014,325,0.12,0.16,0.72
17015,17015,326,0.36,1.32,0.72
17016,17016,327,0.12,0.16,0.72
17018,17018,328,0.12,0.16,0.72
17019,17019,329,0.12,0.16,0.72
17020,17020,330,0.12,0.34,0.72
17021,17021,331,0.12,0.16,0.72
17022,17022,332,0.21,0.75,0.72
17023,17023,333,0.58,2.77,0.84
17024,17024,334,0.12,0.16,0.72
17025,17025,335,0.12,0.16,0.72
17026,17026,336,0.12,0.16,0.72
17027,17027,337,0.12,0.25,0.72
17028,17028,338,0.12,0.16,0.72
17029,17029,339,0.12,0.16,0.72
17030,17030,340,0.12,0.16,0.72
17031,17031,341,0.12,0.16,0.72
17032,17032,342,0.12,0.2,0.72
17033,17033,343,0.14,0.55,0.72
17034,17034,344,0.17,0.79,0.72
17035,17035,345,0.12,0.16,0.72
17036,17036,346,0.12,0.2,0.72
17037,17037,347,0.12,0.16,0.72
17038,17038,348,0.12,0.16,0.72
17039,17039,349,0.12,0.16,0.72
17040,17040,350,0.12,0.16,0.72
17041,17041,351,0.12,0.16,0.72
17042,17042,352,0.12,0.16,0.72
17043,17043,353,0.12,0.16,0.72
17044,17044,354,0.19,0.71,0.72
17046,17046,355,0.12,0.16,0.72
17047,17047,356,0.19,0.81,0.72
17048,17048,357,0.19,0.84,0.72
17049,17049,358,0.12,0.37,0.72
17050,17050,359,0.12,0.16,0.72
17051,17051,360,0.12,0.16,0.72
17052,17052,361,0.12,0.16,0.72
