name,id,idx,Y,M,O
08001,08001,1,0.14,0.65,0.72
08009,08009,2,0.12,0.84,0.72
08010,08010,3,0.12,0.49,0.72
08015,08015,4,4.67,11.22,5.63
08019,08019,5,13.47,81.99,60.37
08022,08022,6,0.19,0.87,0.72
08029,08029,7,0.12,0.2,0.72
08030,08030,8,0.12,0.5,0.72
08037,08037,9,0.12,0.26,0.72
08041,08041,10,0.16,0.98,0.72
08054,08054,11,0.12,0.79,0.72
08056,08056,12,1.3,3.84,1.48
08068,08068,13,0.19,0.61,0.72
08069,08069,14,0.12,0.24,0.72
08072,08072,15,0.12,0.6,0.84
08073,08073,16,1.13,5.29,2.12
08075,08075,17,0.12,0.29,0.72
08076,08076,18,0.36,1.26,0.72
08077,08077,19,0.92,1.98,1.6
08085,08085,20,0.12,0.28,0.72
08086,08086,21,0.39,1.07,0.72
08089,08089,22,0.85,2.46,1.3
08094,08094,23,0.12,0.32,0.72
08096,08096,24,1.33,2.99,1.63
08100,08100,25,0.12,0.27,0.72
08101,08101,26,1.91,11.69,11.45
08102,08102,27,0.98,2.44,0.72
08105,08105,28,0.15,0.66,0.72
08107,08107,29,0.29,0.85,0.72
08108,08108,30,0.12,0.29,0.72
08112,08112,31,0.35,1.09,0.72
08113,08113,32,0.99,2.8,2.54
08114,08114,33,0.34,1.31,1.01
08115,08115,34,0.12,0.37,0.72
08120,08120,35,0.12,0.43,0.72
08121,08121,36,2.19,6.93,3.47
08123,08123,37,0.36,1.65,0.72
08124,08124,38,1.0,2.97,1.03
08125,08125,39,0.54,2.08,0.92
08126,08126,40,0.15,0.58,0.72
08135,08135,41,0.13,0.38,0.72
08136,08136,42,0.12,0.86,0.72
08143,08143,43,0.12,0.32,0.72
08145,08145,44,0.16,0.36,0.72
08147,08147,45,0.36,1.17,0.9
08156,08156,46,0.12,0.66,0.72
08157,08157,47,0.17,0.58,0.72
08158,08158,48,0.12,0.2,0.72
08159,08159,49,0.43,0.93,0.72
08167,08167,50,0.12,0.4,0.72
08169,08169,51,0.55,2.63,3.04
08180,08180,52,0.5,2.36,0.93
08184,08184,53,1.39,3.59,2.49
08187,08187,54,3.45,10.46,6.89
08191,08191,55,0.15,0.41,0.72
08194,08194,56,0.55,2.07,1.02
08196,08196,57,0.19,1.25,1.22
08200,08200,58,0.92,3.54,3.7
08204,08204,59,0.12,0.24,0.72
08205,08205,60,0.97,4.0,3.24
08208,08208,61,0.19,0.54,0.72
08209,08209,62,0.12,0.51,0.72
08211,08211,63,0.61,1.86,1.93
08214,08214,64,0.13,0.46,0.72
08215,08215,65,0.12,0.34,0.72
08217,08217,66,0.62,1.79,0.92
08218,08218,67,0.21,0.75,0.72
08219,08219,68,0.37,1.23,0.72
08220,08220,69,0.12,0.27,0.72
08221,08221,70,0.19,0.94,0.72
08227,08227,71,0.12,0.25,0.72
08231,08231,72,0.76,1.76,0.72
08238,08238,73,0.18,1.07,0.72
08244,08244,74,0.13,0.36,0.72
08245,08245,75,1.79,6.28,3.57
08250,08250,76,0.15,0.48,0.72
08251,08251,77,0.12,0.4,0.72
08252,08252,78,0.62,1.66,1.0
08260,08260,79,0.33,1.4,0.82
08263,08263,80,0.59,1.73,0.72
08266,08266,81,0.65,2.72,2.24
08267,08267,82,0.12,0.45,0.72
08270,08270,83,0.84,1.73,0.72
08279,08279,84,0.87,7.66,9.72
08282,08282,85,0.12,0.47,0.72
08288,08288,86,0.12,0.27,0.72
08289,08289,87,0.12,0.35,0.72
08295,08295,88,0.25,0.81,0.72
08298,08298,89,0.62,2.29,1.28
08301,08301,90,0.61,3.06,2.92
08302,08302,91,0.13,0.58,0.72
08305,08305,92,0.4,2.12,1.35
08307,08307,93,0.89,4.05,1.74
08902,08902,94,0.12,0.57,0.72
08904,08904,95,0.12,0.54,0.72
17013,17013,96,0.12,0.4,0.72
17015,17015,97,0.23,0.99,0.72
17020,17020,98,0.16,0.45,0.72
17023,17023,99,0.56,2.15,1.29
17034,17034,100,0.22,0.55,0.72
17036,17036,101,0.12,0.29,0.72
17048,17048,102,0.21,0.68,0.72
17056,17056,103,0.12,0.3,0.72
17066,17066,104,0.63,2.64,1.3
17079,17079,105,1.74,4.99,1.87
17094,17094,106,0.12,0.16,0.72
17095,17095,107,0.53,1.68,1.54
17114,17114,108,0.61,1.86,1.0
17117,17117,109,0.57,1.18,0.72
17118,17118,110,0.3,0.94,0.72
17137,17137,111,0.12,0.31,0.72
17141,17141,112,0.14,0.39,0.72
17147,17147,113,0.17,0.56,0.72
17152,17152,114,0.38,1.11,0.72
17155,17155,115,0.71,1.83,0.72
17160,17160,116,0.41,1.2,0.72
17163,17163,117,0.15,0.43,0.72
17181,17181,118,0.13,0.33,0.72
17185,17185,119,0.12,0.27,0.72
17186,17186,120,0.12,0.22,0.72
17207,17207,121,0.12,0.32,0.72
17221,17221,122,0.12,0.25,0.72
25011,25011,123,0.27,0.65,0.72
25023,25023,124,0.12,0.34,0.72
25038,25038,125,0.12,0.26,0.72
25040,25040,126,0.36,0.95,0.72
25058,25058,127,0.13,0.31,0.72
25072,25072,128,0.14,0.43,0.72
25099,25099,129,0.12,0.29,0.72
25120,25120,130,2.41,6.02,4.17
25137,25137,131,0.19,0.72,0.72
25158,25158,132,0.12,0.29,0.72
25173,25173,133,0.12,0.26,0.72
25203,25203,134,0.22,0.54,0.72
25204,25204,135,0.14,0.37,0.72
25207,25207,136,0.14,0.43,0.72
25209,25209,137,0.13,0.31,0.72
25217,25217,138,0.17,0.8,0.72
25234,25234,139,0.14,0.32,0.72
25243,25243,140,0.17,0.43,0.72
43014,43014,141,0.57,1.27,0.72
43028,43028,142,0.15,0.35,0.72
43042,43042,143,0.12,0.24,0.72
43047,43047,144,0.21,0.37,0.72
43055,43055,145,0.12,0.26,0.72
43064,43064,146,0.12,0.29,0.72
43086,43086,147,0.18,0.43,0.72
43093,43093,148,0.12,0.3,0.72
43094,43094,149,0.13,0.31,0.72
43100,43100,150,0.13,0.28,0.72
43123,43123,151,2.3,5.02,2.41
43133,43133,152,0.2,0.43,0.72
43140,43140,153,0.23,0.5,0.72
43148,43148,154,3.15,6.95,2.15
43155,43155,155,0.8,1.92,0.72
43161,43161,156,0.68,1.27,0.72
43163,43163,157,0.95,2.23,0.72
43171,43171,158,0.59,1.22,0.72
43905,43905,159,0.71,1.48,0.72
