source_idx,target_idx,ratio
1,1,0.104554688301565
1,5,0.0492361383280711
1,11,0.051842757416028
1,12,0.0011584973724252
1,13,0.0017377460586378
1,14,0.0026066190879567
1,15,0.0049236138328071
1,16,0.011584973724252
1,18,0.0828326372384498
1,19,0.002896243431063
1,22,0.0020273704017441
1,23,0.0017377460586378
1,26,0.0121642224104646
1,27,0.0017377460586378
1,32,0.0023169947448504
1,33,0.1856496545914248
1,37,0.0046339894897008
1,39,0.0031858677741693
1,44,0.0020273704017441
1,45,0.086887828702223
1,47,0.0072406085776575
1,48,0.0011584973724252
1,49,0.0020273704017441
1,51,0.0043443651465945
1,53,0.0162189632139528
1,54,0.0052132381759134
1,57,0.0139019684691025
1,58,0.006661359891444899
1,60,0.006661359891444901
1,61,0.1016586702006444
1,63,0.0026066190879567
1,66,0.0043443651465945
1,67,0.0011584973724252
1,70,0.0017377460586378
1,74,0.0011584973724252
1,77,0.0014481217155315
1,78,0.0031858677741693
1,79,0.0020273704017441
1,80,0.0069509842345512
1,81,0.0011584973724252
1,84,0.014481217155315
1,87,0.0014481217155315
1,89,0.0014481217155315
1,90,0.002896243431063
1,92,0.0020273704017441
2,2,0.0841572091966458
2,4,0.014636055497267299
2,5,0.0483233134036793
2,7,0.039813436917353
2,8,0.0500721554520012
2,17,0.0489575533199421
2,21,0.0066915696475092
2,24,0.0208691575275034
2,26,0.0025895418735515
2,34,0.0011534672426909
2,36,0.4257302683943642
2,38,0.0011534672426909
2,40,0.0035368129976185
2,41,0.0018715045581212
2,42,0.0043082238925817
2,46,0.0011534672426909
2,49,0.0021541119462908
2,54,0.0019479158276668
2,56,0.0033075791889818
2,60,0.0021007383667579
2,62,0.0011534672426909
2,64,0.0089220928633456
2,68,0.0359249034615272
2,70,0.0011534672426909
2,73,0.0010770559731454
2,78,0.0033839904585274
2,79,0.0011534672426909
2,81,0.0015888971699516
2,85,0.0023833457549275
2,94,0.0168969146026244
2,95,0.0022305232158364
3,3,0.1873826105447487
3,4,0.0012125788633886
3,5,0.016282224308955498
3,6,0.0012125788633886
3,12,0.0011328579618171
3,17,0.0011328579618171
3,19,0.0011328579618171
3,20,0.0011328579618171
3,21,0.0012125788633886
3,25,0.0031611219296974
3,27,0.0012125788633886
3,31,0.0017908120121264
3,32,0.2328758733587287
3,36,0.0011328579618171
3,42,0.0011328579618171
3,43,0.010799273889711
3,46,0.0017908120121264
3,53,0.0012125788633886
3,54,0.0052691067991492
3,55,0.1354868697451138
3,60,0.0011328579618171
3,63,0.0023454368252057
3,67,0.0198402399975502
3,76,0.0011328579618171
3,84,0.0023454368252057
3,88,0.0011328579618171
3,89,0.014437010479877
3,94,0.0011328579618171
3,105,0.0014575581145698
3,107,0.0014575581145698
