id,area,Y,M,O,total
08001,20.0124989617959,1379,6454,4170,12003
08009,25.301312233300997,1006,8395,2983,12384
08022,22.5625394260374,1862,8734,5557,16153
08029,9.047581925451013,671,2030,2063,4764
08030,6.98919579232623,975,5035,1873,7883
08041,6.793587492706631,1562,9766,4492,15820
08054,31.1374241272218,994,7881,4337,13212
08069,18.218644404147,800,2369,1494,4663
08072,18.325238486468,1108,6030,8436,15574
08075,40.7641700115427,897,2933,1907,5737
08076,27.2077016439889,3613,12616,6186,22415
08077,4.50713208581662,9150,19830,16039,45019
08086,29.446385017129803,3870,10698,4969,19537
08089,30.8950840783881,8466,24638,13005,46109
08102,8.104533549540209,9772,24376,4444,38592
08105,3.06374533249371,1476,6557,4954,12987
08107,22.5145101653448,2905,8456,3889,15250
08108,10.8370002289203,742,2888,2957,6587
08112,17.163673291797103,3489,10883,6145,20517
08114,12.8325297838911,3430,13054,10087,26571
08120,25.4878669821812,925,4338,4378,9641
08123,15.7902011056885,3550,16495,5285,25330
08125,23.5146865443696,5375,20831,9199,35405
08126,2.91300383773484,1546,5755,4192,11493
08135,4.12988207819922,1272,3765,2992,8029
08136,10.319064812662,1218,8553,6570,16341
08147,16.6892979226534,3563,11658,9047,24268
08156,14.9803988288619,1092,6637,7110,14839
08157,8.515109707917851,1701,5846,4563,12110
08158,8.76065851345325,557,1979,1369,3905
08159,8.83050401378751,4318,9263,4711,18292
08167,8.799661187607692,1085,3968,3522,8575
08180,4.334949169112679,4975,23627,9289,37891
08191,65.7432117295946,1494,4121,1007,6622
08194,3.78389934010479,5487,20704,10157,36348
08196,5.58911074952818,1862,12451,12180,26493
08204,10.8671147073926,721,2369,991,4081
08209,13.1921081187274,1221,5135,2512,8868
08211,11.8858894010608,6111,18581,19285,43977
08214,8.93063621279268,1291,4578,3079,8948
08217,6.17639671235258,6189,17947,9206,33342
08219,3.94507826903927,3729,12310,4532,20571
08221,7.7147688454464,1904,9355,5935,17194
08231,40.8776371958102,7581,17601,5175,30357
08238,14.5035262476382,1784,10681,7160,19625
08244,7.520317821573769,1275,3615,3140,8030
08250,27.7051990372913,1453,4821,3247,9521
08251,17.5051836258822,998,4031,2270,7299
08252,8.22062891546926,6213,16578,9962,32753
08260,15.5994290622776,3260,14010,8192,25462
08263,9.135122395332887,5888,17300,5239,28427
08266,30.9179645458134,6487,27188,22363,56038
08267,28.2927386861513,988,4535,3775,9298
08270,43.8195987232767,8368,17317,3524,29209
