muni_code_6digit,muni_name,comarca_code,comarca_name,muni_code_5digit,has_edar
250019,Abella de la Conca,25,Pallars Jussà,25001,0
080018,Abrera,11,Baix Llobregat,08001,1
250024,Àger,23,Noguera,25002,0
250030,Agramunt,38,Urgell,25003,0
080023,Aguilar de Segarra,07,Bages,08002,0
170010,Agullana,02,Alt Empordà,17001,0
080142,Aiguafreda,24,Osona,08014,0
430017,Aiguamúrcia,01,Alt Camp,43001,0
170025,Aiguaviva,20,Gironès,17002,1
250387,Aitona,33,Segrià,25038,1
250045,"Alamús, els",33,Segrià,25004,0
250058,Alàs i Cerc,04,Alt Urgell,25005,1
250061,"Albagés, l'",18,Garrigues,25006,0
170031,Albanyà,02,Alt Empordà,17003,0
250077,Albatàrrec,33,Segrià,25007,0
250083,Albesa,23,Noguera,25008,0
250096,"Albi, l'",18,Garrigues,25009,0
430022,Albinyana,12,Baix Penedès,43002,1
430038,"Albiol, l'",08,Baix Camp,43003,0
170046,Albons,10,Baix Empordà,17004,0
430043,Alcanar,22,Montsià,43004,0
250100,Alcanó,33,Segrià,25010,0
250117,Alcarràs,33,Segrià,25011,1
250122,Alcoletge,33,Segrià,25012,0
430056,Alcover,01,Alt Camp,43005,0
439044,"Aldea, l'",09,Baix Ebre,43904,0
430069,Aldover,09,Baix Ebre,43006,0
430075,"Aleixar, l'",08,Baix Camp,43007,0
080039,Alella,21,Maresme,08003,0
430081,Alfara de Carles,09,Baix Ebre,43008,0
250138,Alfarràs,33,Segrià,25013,0
250143,Alfés,33,Segrià,25014,0
430094,Alforja,08,Baix Camp,43009,0
250156,Algerri,23,Noguera,25015,0
250169,Alguaire,33,Segrià,25016,0
250175,Alins,26,Pallars Sobirà,25017,0
430108,Alió,01,Alt Camp,43010,0
250194,Almacelles,33,Segrià,25019,0
250208,Almatret,33,Segrià,25020,0
250215,Almenar,33,Segrià,25021,0
430115,Almoster,08,Baix Camp,43011,1
250220,Alòs de Balaguer,23,Noguera,25022,0
170062,Alp,15,Cerdanya,17006,0
080044,Alpens,43,Lluçanès,08004,0
250236,Alpicat,33,Segrià,25023,1
250241,Alt Àneu,26,Pallars Sobirà,25024,0
430120,Altafulla,36,Tarragonès,43012,0
170078,Amer,34,Selva,17007,0
430136,"Ametlla de Mar, l'",09,Baix Ebre,43013,0
080057,"Ametlla del Vallès, l'",41,Vallès Oriental,08005,0
439060,"Ampolla, l'",09,Baix Ebre,43906,0
430141,Amposta,22,Montsià,43014,1
170084,Anglès,34,Selva,17008,0
250273,Anglesola,38,Urgell,25027,0
250292,Arbeca,18,Garrigues,25029,0
430167,"Arboç, l'",12,Baix Penedès,43016,0
430154,Arbolí,08,Baix Camp,43015,0
170097,Arbúcies,34,Selva,17009,0
080060,Arenys de Mar,21,Maresme,08006,0
080076,Arenys de Munt,21,Maresme,08007,0
170101,Argelaguer,19,Garrotxa,17010,0
080082,Argençola,06,Anoia,08008,0
430173,"Argentera, l'",08,Baix Camp,43017,0
080095,Argentona,21,Maresme,08009,1
170118,"Armentera, l'",02,Alt Empordà,17011,0
430189,Arnes,37,Terra Alta,43018,0
250313,Arres,39,Aran,25031,0
250328,Arsèguel,04,Alt Urgell,25032,0
080109,Artés,07,Bages,08010,1
250334,Artesa de Lleida,33,Segrià,25033,0
250349,Artesa de Segre,23,Noguera,25034,0
430192,Ascó,30,Ribera d'Ebre,43019,0
250365,Aspa,33,Segrià,25036,0
250371,"Avellanes i Santa Linya, les",23,Noguera,25037,0
080116,Avià,14,Berguedà,08011,0
080121,Avinyó,07,Bages,08012,0
170123,Avinyonet de Puigventós,02,Alt Empordà,17012,0
080137,Avinyonet del Penedès,03,Alt Penedès,08013,1
080155,Badalona,13,Barcelonès,08015,1
089045,Badia del Vallès,40,Vallès Occidental,08904,1
080168,Bagà,14,Berguedà,08016,0
250390,Baix Pallars,26,Pallars Sobirà,25039,0
250404,Balaguer,23,Noguera,25040,1
080174,Balenyà,24,Osona,08017,0
080180,Balsareny,07,Bages,08018,0
430206,Banyeres del Penedès,12,Baix Penedès,43020,1
170157,Banyoles,28,Pla de l'Estany,17015,1
250411,Barbens,27,Pla d'Urgell,25041,0
430213,Barberà de la Conca,16,Conca de Barberà,43021,0
082520,Barberà del Vallès,40,Vallès Occidental,08252,1
080193,Barcelona,13,Barcelonès,08019,1
250426,"Baronia de Rialb, la",23,Noguera,25042,0
170160,Bàscara,02,Alt Empordà,17016,0
250447,Bassella,04,Alt Urgell,25044,0
430228,Batea,37,Terra Alta,43022,0
250450,Bausen,39,Aran,25045,0
080207,Begues,11,Baix Llobregat,08020,0
170139,Begur,10,Baix Empordà,17013,1
250463,Belianes,38,Urgell,25046,0
250485,Bell-lloc d'Urgell,27,Pla d'Urgell,25048,0
251706,Bellaguarda,18,Garrigues,25170,0
170182,Bellcaire d'Empordà,10,Baix Empordà,17018,0
250479,Bellcaire d'Urgell,23,Noguera,25047,0
250498,Bellmunt d'Urgell,23,Noguera,25049,0
430234,Bellmunt del Priorat,29,Priorat,43023,0
080214,Bellprat,06,Anoia,08021,0
250501,Bellpuig,38,Urgell,25050,0
430249,Bellvei,12,Baix Penedès,43024,0
250518,Bellver de Cerdanya,15,Cerdanya,25051,0
250523,Bellvís,27,Pla d'Urgell,25052,0
250539,Benavent de Segrià,33,Segrià,25053,0
430252,Benifallet,09,Baix Ebre,43025,0
430265,Benissanet,30,Ribera d'Ebre,43026,0
080229,Berga,14,Berguedà,08022,1
170195,Besalú,19,Garrotxa,17019,0
170209,Bescanó,20,Gironès,17020,1
170216,Beuda,19,Garrotxa,17021,0
080235,Bigues i Riells del Fai,41,Vallès Oriental,08023,0
250557,Biosca,35,Solsonès,25055,0
170221,"Bisbal d'Empordà, la",10,Baix Empordà,17022,0
430271,"Bisbal de Montsant, la",29,Priorat,43027,0
430287,"Bisbal del Penedès, la",12,Baix Penedès,43028,1
172348,Biure,02,Alt Empordà,17234,0
430290,Blancafort,16,Conca de Barberà,43029,0
170237,Blanes,34,Selva,17023,1
170293,Boadella i les Escaules,02,Alt Empordà,17029,0
170242,Bolvir,15,Cerdanya,17024,0
430304,Bonastre,12,Baix Penedès,43030,0
250576,"Bòrdes, Es",39,Aran,25057,0
170255,Bordils,20,Gironès,17025,0
250582,"Borges Blanques, les",18,Garrigues,25058,1
430311,"Borges del Camp, les",08,Baix Camp,43031,0
170268,Borrassà,02,Alt Empordà,17026,0
080240,Borredà,14,Berguedà,08024,0
250595,Bossòst,39,Aran,25059,0
